name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
Seapine Brewing Company,micro,2959 Utah Ave S,Seattle,Washington,98134-1815,-122.3355003,47.5760786,Washington,98134,6235,"Seattle city, Washington",53.0,63000.0,733904.0,371600.0,362304.0,35.5,35.4,35.6,57934.0,1616.0,10074.0,7445.0,8490.0,7573.0,22379.0,91840.0,106310.0,29288.0,66994.0,182624.0,286082.0,265726.0,384799.0,351650.0,33149.0
Second Chance Beer Company,micro,15378 Ave of Science Ste 222,San Diego,California,92128-3451,-117.082033,32.994888,California,92128,6241,"San Diego city, California",6.0,66000.0,1381600.0,707804.0,673796.0,35.9,34.9,37.0,34070.0,2826.0,3995.0,4564.0,4380.0,4664.0,11759.0,93042.0,107093.0,74377.0,48579.0,1150367.0,502249.0,457320.0,555456.0,521000.0,34456.0
Second District Brewing Co.,brewpub,1939 S. Bancroft St.,Philadelphia,Pennsylvania,19145,-75.17297324,39.92679584,Pennsylvania,19145,6242,"Philadelphia city, Pennsylvania",42.0,60000.0,1576251.0,749496.0,826755.0,35.2,34.0,36.4,300454.0,50635.0,61008.0,35173.0,28296.0,35089.0,10933.0,81130.0,55669.0,30771.0,39068.0,62305.0,499966.0,543900.0,733015.0,660921.0,72094.0
Second Line Brewing,micro,433 N Bernadotte St,New Orleans,Louisiana,70119-4311,-90.1056073,29.9825676,Louisiana,70119,6243,"New Orleans city, Louisiana",22.0,55000.0,376971.0,178394.0,198577.0,38.3,37.7,39.0,35483.0,3320.0,5342.0,5278.0,3730.0,4586.0,9759.0,46942.0,113555.0,37591.0,36391.0,143517.0,117124.0,130980.0,194701.0,158827.0,35874.0
Second Profession Brewing Company,brewpub,5846 NE Sandy Blvd,Portland,Oregon,97213-3436,-122.498321,45.5499485,Oregon,97213,6244,"Portland city, Oregon",41.0,59000.0,642218.0,318808.0,323410.0,38.3,38.3,38.3,35579.0,2708.0,7539.0,4020.0,3619.0,4012.0,11598.0,36125.0,79590.0,40542.0,46590.0,50737.0,229443.0,227784.0,303483.0,286734.0,16749.0
Second Self Brewing,micro,1311 Logan Cir NW,Atlanta,Georgia,30318-2858,-84.43006194,33.8055922,Georgia,30318,6246,"Atlanta city, Georgia",13.0,4000.0,496480.0,243807.0,252673.0,34.3,34.0,34.6,200032.0,22173.0,31463.0,24969.0,20937.0,24358.0,23470.0,74107.0,101490.0,60865.0,48980.0,43108.0,178606.0,176270.0,253355.0,232720.0,20635.0
Second Son Brews,micro,12810 Road 38,Madera,California,93636-8671,-119.8580965,36.93416059,California,93636,6247,"Madera city, California",6.0,45022.0,67956.0,33080.0,34876.0,33.6,30.9,36.2,34678.0,2615.0,3221.0,3508.0,6185.0,5715.0,13601.0,49358.0,61732.0,92012.0,26570.0,50103.0,20689.0,21182.0,19676.0,18595.0,1081.0
Second State Brewing Company,micro,203 State St,Cedar Falls,Iowa,50613-3360,-92.4442681,42.53674424,Iowa,50613,6248,"Cedar Falls city, Iowa",19.0,11755.0,39811.0,17718.0,22093.0,27.5,26.9,28.3,136464.0,16881.0,19773.0,17469.0,15945.0,16581.0,10149.0,68251.0,80599.0,26147.0,26940.0,51173.0,11833.0,15515.0,16315.0,15001.0,1314.0
Second Street Brewery,brewpub,1814 2nd St,Santa Fe,New Mexico,87505-3848,-105.9656754,35.66300492,New Mexico,87505,6249,"Santa Fe city, New Mexico",35.0,70500.0,88196.0,42275.0,45921.0,42.5,42.4,42.7,34287.0,2603.0,3856.0,4369.0,3077.0,5854.0,44279.0,60517.0,73440.0,42276.0,35672.0,22386.0,25111.0,27303.0,45246.0,40641.0,4605.0
Second Street Brewery - Rufina,brewpub,2920 Rufina St,Santa Fe,New Mexico,87507-2999,-105.9909993,35.65875738,New Mexico,87507,6250,"Santa Fe city, New Mexico",35.0,70500.0,88196.0,42275.0,45921.0,42.5,42.4,42.7,34287.0,2603.0,3856.0,4369.0,3077.0,5854.0,44279.0,60517.0,73440.0,42276.0,35672.0,22386.0,25111.0,27303.0,45246.0,40641.0,4605.0
"Secret Trail Brewing Company, LLC",micro,132 Meyers St Ste 120,Chico,California,95928-8002,-121.817279,39.71460198,California,95928,6252,"Chico city, California",6.0,13014.0,102340.0,50688.0,51652.0,31.7,30.0,33.1,92988.0,6744.0,13536.0,13844.0,12506.0,12240.0,26774.0,61850.0,80105.0,46042.0,29808.0,84178.0,33391.0,36279.0,42758.0,40956.0,1802.0
Seedstock Brewery,micro,3610 W Colfax Ave,Denver,Colorado,80204-1513,-105.0348519,39.74025203,Colorado,80204,6254,"Denver city, Colorado",8.0,20000.0,711463.0,358282.0,353181.0,35.1,35.1,35.1,20328.0,4138.0,3382.0,3208.0,2591.0,1527.0,8555.0,81630.0,105365.0,43326.0,50986.0,592643.0,259713.0,246522.0,351829.0,326634.0,25195.0
Seguin Brewing Company,micro,111 W Gonzales St,Seguin,Texas,78155-5630,-97.96528378,29.56957082,Texas,78155,6255,"Seguin city, Texas",48.0,66644.0,30907.0,16092.0,14815.0,39.1,36.8,43.6,44881.0,4132.0,6349.0,5586.0,4836.0,6118.0,8904.0,192540.0,250001.0,50000.0,35470.0,54519.0,10484.0,10057.0,12070.0,10724.0,1346.0
Seismic Brewing Co,micro,2932 Dutton Ave,Santa Rosa,California,95407-5711,-122.7236203,38.4042275,California,95407,6256,"Santa Rosa city, California",6.0,70098.0,176942.0,87012.0,89930.0,40.4,38.6,42.5,59700.0,3351.0,7276.0,9913.0,7385.0,7097.0,20509.0,86459.0,105179.0,56456.0,43117.0,145676.0,56242.0,57348.0,71553.0,68686.0,2867.0
Selkirk Abbey Brewing,micro,6180 E Seltice Way Ste 102,Post Falls,Idaho,83854-5052,-116.8684085,47.70484371,Idaho,83854,6258,"Post Falls city, Idaho",16.0,64810.0,42611.0,21822.0,20789.0,38.2,37.9,38.4,33850.0,13716.0,6333.0,1722.0,940.0,1586.0,21211.0,67026.0,85875.0,46566.0,36997.0,41568.0,14147.0,14265.0,17125.0,16095.0,1030.0
Seminar Brewing,brewpub,551 W Lucas St,Florence,South Carolina,29501-2817,-79.78837666,34.2209957,South Carolina,29501,6259,"Florence city, South Carolina",45.0,25810.0,39958.0,17733.0,22225.0,41.2,37.9,43.5,27994.0,796.0,2716.0,6635.0,3244.0,1994.0,16250.0,77538.0,81560.0,38610.0,37585.0,31060.0,10651.0,13702.0,18874.0,16051.0,2823.0
Sentinel Peak Brewing Company,brewpub,4746 E Grant Rd,Tucson,Arizona,85712-2703,-110.8552229,32.2505857,Arizona,85712,6263,"Tucson city, Arizona",4.0,77000.0,543215.0,271982.0,271233.0,33.6,32.8,34.6,97097.0,12076.0,15315.0,11351.0,7116.0,8544.0,36530.0,50306.0,61461.0,60109.0,30567.0,445020.0,183136.0,179304.0,242816.0,223068.0,19748.0
Sequoia Brewing Co - Tower District,brewpub,777 E Olive Ave,Fresno,California,93728-3350,-119.8019622,36.75774408,California,93728,6265,"Fresno city, California",6.0,27000.0,544500.0,270529.0,273971.0,32.9,32.2,33.5,141875.0,14429.0,25407.0,14615.0,19339.0,17146.0,48423.0,61250.0,69831.0,57670.0,35253.0,410825.0,170969.0,171306.0,188756.0,181841.0,6915.0
Serda Brewing Company,micro,600 Government St,Mobile,Alabama,36602-1720,-88.04938713,30.6879563,Alabama,36602,6266,"Mobile city, Alabama",1.0,50000.0,184960.0,88077.0,96883.0,37.8,36.3,39.3,184960.0,17514.0,27941.0,20723.0,20921.0,23990.0,77991.0,43786.0,59065.0,34767.0,31638.0,147671.0,54288.0,61146.0,88507.0,77991.0,10516.0
Service Brewing Company,micro,574 Indian St,Savannah,Georgia,31401-1121,-81.0982783,32.0839717,Georgia,31401,6268,"Savannah city, Georgia",13.0,69000.0,147087.0,69592.0,77495.0,33.1,32.4,34.0,55682.0,3737.0,8678.0,10142.0,10112.0,5794.0,7973.0,49612.0,60153.0,37615.0,29224.0,16983.0,47139.0,50073.0,68618.0,59612.0,9006.0
Seven Bridges Grille and Brewery,brewpub,9735 Gate Pkwy N,Jacksonville,Florida,32246-8221,-81.55312193,30.26129582,Florida,32246,6271,"Jacksonville city, Florida",12.0,35000.0,954624.0,464197.0,490427.0,36.6,35.3,38.3,24623.0,1903.0,3502.0,4138.0,1685.0,3367.0,8895.0,58621.0,72016.0,68590.0,36589.0,759046.0,305104.0,314631.0,422315.0,386283.0,36032.0
Seven Stills,micro,100 Hooper St Ste. 4,San Francisco,California,94107,-122.3991969,37.76881492,California,94107,6274,"San Francisco city, California",6.0,67000.0,815201.0,417313.0,397888.0,40.4,40.1,41.0,38670.0,2465.0,5049.0,6244.0,4938.0,5346.0,13112.0,121826.0,150429.0,66875.0,76010.0,713617.0,299502.0,271633.0,412269.0,350796.0,61473.0
Seven Stills,micro,3645 Lawton St,San Francisco,California,94112,-122.5022326,37.75694059,California,94112,6275,"San Francisco city, California",6.0,67000.0,815201.0,417313.0,397888.0,40.4,40.1,41.0,38670.0,2465.0,5049.0,6244.0,4938.0,5346.0,13112.0,121826.0,150429.0,66875.0,76010.0,713617.0,299502.0,271633.0,412269.0,350796.0,61473.0
Seventh Son Brewing Co,micro,1101 N 4th St,Columbus,Ohio,43201-3683,-83.0019404,39.985351,Ohio,43201,6277,"Columbus city, Ohio",39.0,18000.0,907310.0,447150.0,460160.0,33.1,32.5,33.7,50818.0,3554.0,10334.0,6635.0,4703.0,6059.0,55114.0,39315.0,94501.0,30942.0,36908.0,44624.0,312182.0,317947.0,422120.0,390605.0,31515.0
Severance Brewing Company,micro,701 N Phillips Ave,Sioux Falls,South Dakota,57104-1623,-96.72724272,43.5560742,South Dakota,57104,6278,"Sioux Falls city, South Dakota",46.0,59020.0,196528.0,98502.0,98026.0,35.9,35.6,36.1,22925.0,2709.0,2329.0,3198.0,2566.0,2644.0,19367.0,91415.0,175214.0,79393.0,41641.0,147712.0,63636.0,61657.0,86893.0,83498.0,3395.0
Shade Tree Brewing,micro,19305 Indian Summer Rd,Bend,Oregon,97702,-121.3588559,43.99269969,Oregon,97702,6282,"Bend city, Oregon",41.0,5800.0,102079.0,52159.0,49920.0,41.2,39.5,42.2,32768.0,550.0,3555.0,6510.0,6757.0,3153.0,25357.0,55398.0,86510.0,37802.0,49717.0,32362.0,32384.0,30907.0,47882.0,44620.0,3262.0
Shades Brewery,micro,154 W Utopia Ave,Salt Lake City,Utah,84115-2507,-111.895566,40.7240264,Utah,84115,6284,"Salt Lake City city, Utah",49.0,67000.0,200475.0,101354.0,99121.0,32.5,32.8,31.9,95038.0,6239.0,11916.0,14504.0,10447.0,12272.0,11154.0,108047.0,53128.0,137155.0,39257.0,24865.0,76336.0,70941.0,99551.0,89839.0,9712.0
Shadow Puppet Brewing Company,brewpub,4771 Arroyo Vis Ste B,Livermore,California,94551-4847,-121.7392687,37.69918669,California,94551,6285,"Livermore city, California",6.0,41992.0,86812.0,43647.0,43165.0,40.5,39.7,41.8,67020.0,8678.0,7499.0,7480.0,10439.0,6500.0,24245.0,130111.0,151240.0,15916.0,66821.0,70155.0,28897.0,28591.0,32363.0,31472.0,891.0
